benchmark,stage,sgf_counter,shadow_counter,depth,ghr_diff,btb_hit,issued,issued_agree,issued_differ,agree,differ,sgf_only_correct,committed_only_correct,both_correct,both_wrong
bench_branch_heavy,7,10,10,0,0,0,5,5,0,4,0,0,0,4,0
bench_branch_heavy,7,10,10,0,0,1,79,79,0,79,0,0,0,58,21
bench_branch_heavy,7,10,10,0,1,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,7,10,10,0,1,1,10,10,0,10,0,0,0,8,2
bench_branch_heavy,7,10,10,1,0,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,7,10,10,1,0,1,17,17,0,17,0,0,0,8,9
bench_branch_heavy,7,10,10,1,1,0,2,2,0,2,0,0,0,2,0
bench_branch_heavy,7,10,10,1,1,1,3,3,0,3,0,0,0,2,1
bench_branch_heavy,7,10,11,0,1,1,6,6,0,6,0,0,0,5,1
bench_branch_heavy,7,10,11,1,1,0,6,6,0,6,0,0,0,6,0
bench_branch_heavy,7,10,11,1,1,1,38,38,0,34,0,0,0,19,15
bench_branch_heavy,7,11,00,0,1,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,7,11,00,0,1,1,19,0,19,0,19,5,14,0,0
bench_branch_heavy,7,11,00,1,1,1,83,0,83,0,79,40,39,0,0
bench_branch_heavy,7,11,01,0,1,1,19,0,19,0,15,10,5,0,0
bench_branch_heavy,7,11,01,1,1,1,62,0,62,0,58,27,31,0,0
bench_branch_heavy,7,11,10,0,1,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,7,11,10,0,1,1,18,18,0,18,0,0,0,11,7
bench_branch_heavy,7,11,10,1,1,1,10,10,0,10,0,0,0,8,2
bench_branch_heavy,7,11,11,0,0,0,13,13,0,13,0,0,0,11,2
bench_branch_heavy,7,11,11,0,0,1,213,213,0,213,0,0,0,188,25
bench_branch_heavy,7,11,11,0,1,1,20,20,0,20,0,0,0,15,5
bench_branch_heavy,7,11,11,1,0,1,70,70,0,70,0,0,0,60,10
bench_branch_heavy,7,11,11,1,1,0,2,2,0,2,0,0,0,2,0
